Rank,Athlete,Country,Result,Finished,Year,Birth year,Height,Weight
1.0,Enrico FABRIS,ITA,01:45.97,1,2006,1981,1.89,80.0
2.0,Shani DAVIS,USA,01:46.13,1,2006,1982,1.88,86.0
4.0,Simon KUIPERS,NED,01:46.58,1,2006,1982,1.86,86.0
5.0,Erben WENNEMARS,NED,01:46.71,1,2006,1975,1.83,80.0
6.0,Ivan SKOBREV,RUS,01:46.91,1,2006,1983,1.87,85.0
8.0,Mikael FLYGIND-LARSEN,NOR,01:47.28,1,2006,1982,1.81,78.0
10.0,Even WETTEN,NOR,01:47.78,1,2006,1982,1.88,88.0
11.0,Denny MORRISON,CAN,01:48.04,1,2006,1985,1.83,81.0
12.0,Steven ELM,CAN,01:48.09,1,2006,1975,1.85,81.0
15.0,Sven KRAMER,NED,01:48.36,1,2006,1986,1.85,80.0
16.0,Joon MOON,KOR,01:48.38,1,2006,1982,1.85,85.0
17.0,Arne DANKERS,CAN,01:48.42,1,2006,1980,1.88,82.0
20.0,Jan BOS,NED,01:48.61,1,2006,1975,1.9,85.0
22.0,Stefano DONAGRANDI,ITA,01:48.85,1,2006,1976,1.85,84.0
23.0,Yevgeny LALENKOV,RUS,01:49.00,1,2006,1981,1.88,85.0
24.0,Risto ROSENDAHL,FIN,01:49.51,1,2006,1979,1.88,88.0
26.0,Stefan HEYTHAUSEN,GER,01:49.58,1,2006,1981,1.83,76.0
29.0,Matteo ANESI,ITA,01:49.88,1,2006,1984,1.85,81.0
31.0,Tobias SCHNEIDER,GER,01:50.18,1,2006,1981,1.88,80.0
32.0,Aleksandr KIBALKO,RUS,01:50.29,1,2006,1973,1.83,87.0
33.0,Johan RÖJLER,SWE,01:50.50,1,2006,1981,1.83,82.0
36.0,Robert LEHMANN,GER,01:51.04,1,2006,1984,1.81,80.0
,Håvard BØKKO,NOR,,0,2006,1987,1.82,76.0
1.0,Mark TUITERT,NED,01:45.57,1,2010,1980,1.82,83.0
2.0,Shani DAVIS,USA,01:46.10,1,2010,1982,1.88,86.0
3.0,Håvard BØKKO,NOR,01:46.13,1,2010,1987,1.82,76.0
